emp_no,first_name,last_name,dept_name
100534,Aamer,Luga,Sales
490204,Abdelaziz,Waymire,Sales
51639,Abdelaziz,Czap,Sales
264390,Abdelghani,Waeselynck,Sales
496882,Abdelghani,Vural,Sales
283209,Abdelghani,Seiwald,Sales
488068,Abdelghani,Sabnani,Sales
258003,Abdelghani,Rubsam,Sales
290946,Abdelghani,Reutenauer,Sales
108053,Abdelghani,Nilsson,Sales
17468,Abdelghani,Irland,Sales
105441,Abdelghani,Haldar,Sales
434084,Abdelghani,Cappello,Sales
492868,Abdelkader,Trumbly,Sales
93433,Abdelkader,Tchuente,Sales
77689,Abdelkader,Swan,Sales
436372,Abdelkader,Leslie,Sales
265903,Abdelkader,Angelov,Sales
424591,Abdelwaheb,Yeung,Sales
76878,Abdelwaheb,Turnbull,Sales
451020,Abdelwaheb,Masada,Sales
408551,Abdulah,Schiper,Sales
96562,Abdulah,Ghemri,Sales
226878,Abdulah,Furedi,Sales
477778,Abdulah,Fadgyas,Sales
477389,Abdulah,Claffy,Sales
22557,Abdulla,Luon,Sales
448846,Abdulla,Lipner,Sales
263140,Abdulla,Iisaku,Sales
250528,Abdulla,Barvinok,Sales
457801,Abdulla,Antonakopoulos,Sales
236447,Achilleas,Vasanthakumar,Sales
231706,Achilleas,Pettey,Sales
107924,Achilleas,Georgakopoulos,Sales
446319,Adam,Siepmann,Sales
43241,Adam,Kisuki,Sales
208525,Adam,DiGiano,Sales
35960,Adam,Danlos,Sales
488018,Adamantios,Zweizig,Sales
402585,Adamantios,Swick,Sales
29527,Adamantios,Oaver,Sales
236555,Adamantios,Luga,Sales
402942,Adamantios,Ligten,Sales
75688,Adamantios,Crooks,Sales
292322,Adamantios,Colorni,Sales
85489,Adas,Zwicker,Sales
498613,Adas,Hofmeyr,Sales
213786,Adas,Deyuan,Sales
37814,Adel,Salvesen,Sales
97918,Adel,Pollacia,Sales
488928,Adel,Bazelow,Sales
28281,Adhemar,Oxenboll,Sales
417576,Adhemar,Murtagh,Sales
490104,Adhemar,Lowrie,Sales
208436,Adhemar,Denny,Sales
436585,Adib,Pargas,Sales
231959,Adib,Hatcliff,Sales
431078,Adib,Ananiadou,Sales
19841,Adil,Straney,Sales
235573,Adil,Stamatiou,Sales
50838,Adil,Skogmar,Sales
237175,Adil,Reutenauer,Sales
466279,Adil,Goodrum,Sales
295651,Adil,Coombs,Sales
284560,Adin,Valiente,Sales
457577,Adin,Rosay,Sales
25643,Adin,Peak,Sales
74542,Adin,Naumovich,Sales
95902,Adin,Mikschl,Sales
294332,Adit,Ranft,Sales
33838,Adit,Ranai,Sales
65579,Adit,Orsini,Sales
406973,Adly,Weedon,Sales
99014,Adly,Siprelle,Sales
109125,Adly,Piveteau,Sales
265733,Adly,Pelc,Sales
462282,Adly,Morton,Sales
425806,Aemilian,Limongiello,Sales
449263,Aemilian,Leaver,Sales
45062,Aemilian,Hammerschmidt,Sales
45919,Aemilian,Denti,Sales
473776,Aemilian,Demir,Sales
417633,Aemilian,Cappelletti,Sales
17146,Aemilian,Barbanera,Sales
20708,Aemilian,Arlazarov,Sales
46853,Aiichiro,Walston,Sales
97938,Aiichiro,Plavsic,Sales
278486,Aiichiro,Maraist,Sales
418329,Aiichiro,Eiron,Sales
85988,Aiichiro,Brlek,Sales
247220,Aimee,Miyakawa,Sales
433665,Aimee,Kusalik,Sales
